title,media,date,datetime,desc,link,img
Nova aposta: conheça o empreendimento de Eike Batista que promete ressuscitar seu império,Terra Brasil Notícias,á 2 semanas,,"No início de 2025, Eike Batista, conhecido por seu histórico de empreendimentos bilionários, anunciou um novo projeto ambicioso.",https://terrabrasilnoticias.com/2025/04/nova-aposta-conheca-o-empreendimento-de-eike-batista-que-promete-ressuscitar-seu-imperio/&ved=2ahUKEwiSp_zTvP2MAxU3kZUCHQJkAHoQxfQBegQIBRAC&usg=AOvVaw2UCJigm4aIvUqwT3vTpTg_,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Criptomoeda é suspensa no Brasil e acende alerta entre investidores,Capitalist,á 3 semanas,,"CVM suspende a criptomoeda $EIKE, associada a Eike Batista. Entenda o caso e veja dicas para investir com mais segurança no mercado cripto.",https://capitalist.com.br/criptomoeda-e-suspensa-no-brasil-e-acende-alerta-entre-investidores/&ved=2ahUKEwiSp_zTvP2MAxU3kZUCHQJkAHoQxfQBegQICxAC&usg=AOvVaw0jHENLaW9zGvH1KXpsc8yV,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Criptomoeda é proibida no Brasil e investidores são pegos de surpresa,Diário do Comércio,á 3 semanas,,"A CMV suspendeu a oferta da $EIKE, criptomoeda cercada de controvérsias lançada pelo ex-bilionário Eike Batista em fevereiro.",https://diariodocomercio.com.br/mix/criptomoeda-e-proibida-no-brasil-e-investidores-sao-pegos-de-surpresa/&ved=2ahUKEwiSp_zTvP2MAxU3kZUCHQJkAHoQxfQBegQIChAC&usg=AOvVaw0lorzyh10Lfy-yzFUmZCc-,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
CVM manda Eike Batista parar de vender token $EIKE,Cryptonews,á 3 semanas,,A CVM determinou que os responsáveis pelo EIKE suspendam imediatamente qualquer oferta de valores mobiliários a residentes no Brasil.,https://cryptonews.com/br/noticias/cvm-manda-eike-batista-parar-de-vender-token-eike/&ved=2ahUKEwiSp_zTvP2MAxU3kZUCHQJkAHoQxfQBegQIBxAC&usg=AOvVaw2HjnIH86K4GjAmvXb-ETlP,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Criptomoeda de Eike Batista é proibida no Brasil e CVM alerta investidores,Seu Crédito Digital,á 3 semanas,,"A CVM suspendeu a criptomoeda $EIKE, de Eike Batista, alertando investidores sobre riscos e possíveis penalizações. Entenda o impacto da decisão.",https://seucreditodigital.com.br/criptomoeda-eike-batista-proibida-cvm/&ved=2ahUKEwiSp_zTvP2MAxU3kZUCHQJkAHoQxfQBegQIAhAC&usg=AOvVaw2higcduNKETFTGfvqJfqgP,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Ronaldinho Gaúcho x Eike Batista: juristas analisam tokens Star10 e $EIKE,Binance,á 3 semanas,,"Com as recentes polêmicas e questionamentos sobre a credibilidade das memecoins, a reportagem do BeInCrypto Brasil conversou com os juristas, Pedro Heitor...",https://www.binance.com/en-AE/square/post/22566513164857&ved=2ahUKEwiSp_zTvP2MAxU3kZUCHQJkAHoQxfQBegQIAxAC&usg=AOvVaw287dZ6Mk8JOYPgU1xT5TWp,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Cripto de Eike Batista é suspensa pela CVM; bastidores do projeto expõem rede de promessas e polêmicas |,InvestNews,á 3 semanas,,"Com promessas bilionárias, token $EIKE é alvo de suspensão por possível oferta irregular a investidores brasileiros.",https://investnews.com.br/economia/cripto-de-eike-batista-e-suspensa-pela-cvm-bastidores-do-projeto-expoem-rede-de-promessas-e-polemicas/&ved=2ahUKEwiSp_zTvP2MAxU3kZUCHQJkAHoQxfQBegQIARAC&usg=AOvVaw23p4toMDduwe_8bH3IpSB1,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
CVM alerta sobre token divulgado por Eike Batista,Portal do Bitcoin,á 3 semanas,,Saiba tudo sobre o alerta da CVM de atuação irregular dos responsáveis pelo token EIKE ($EIKE) divulgado pelo empresário Eike Batista.,https://portaldobitcoin.uol.com.br/cvm-determina-que-eike-batista-e-grupo-empresarial-pare-de-vender-a-criptomoeda-eike/&ved=2ahUKEwiSp_zTvP2MAxU3kZUCHQJkAHoQxfQBegQIBBAC&usg=AOvVaw1cV11g-CCuJ9ivmSTMwbrc,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
CVM suspende criptomoeda do Eike Batista no Brasil,Livecoins,á 3 semanas,,"A CVM determinou a suspensão imediata da oferta da criptomoeda $EIKE, do Eike Batista no Brasil, entenda o caso.",https://livecoins.com.br/cvm-suspende-criptomoeda-do-eike-batista-no-brasil/&ved=2ahUKEwiSp_zTvP2MAxU3kZUCHQJkAHoQxfQBegQICBAC&usg=AOvVaw1QxrGHxU3Ivsj8LVkc6kxa,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Oferta de criptomoeda nunca foi destinada ao Brasil, diz empresa de Eike Batista",Exame,á 3 semanas,,EBX Digital Green afirma que não vai entrar com recurso de medida da CVM para suspender oferta do token EIKE no Brasil.,https://exame.com/future-of-money/oferta-de-criptomoeda-nunca-foi-destinada-ao-brasil-diz-empresa-de-eike-batista/&ved=2ahUKEwiSp_zTvP2MAxU3kZUCHQJkAHoQxfQBegQICRAC&usg=AOvVaw3QqS1f4R_ip7hIh-6TYiE_,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
