message_id,date,content,sender_name
31946,2025-05-23 21:42:04+00:00,[⁣](https://telegra.ph/file/cc9517fd43939f4c89563.jpg)NÃO FIQUEM DE FORA DO MAIOR E MAIS LUCRATIVO TOKEN MEME DE TODOS.,Group Help
31941,2025-05-23 13:27:49+00:00,"**NEW** **DROP FROM THE **[RSB.PROMO](https://soundcloud.com/user-584099903/01-levadinsky-descent-001)** RESIDENT 🚨**
**
Levadinsky descent

**https://soundcloud.com/user-584099903/01-levadinsky-descent-001**
**https://soundcloud.com/user-584099903/01-levadinsky-descent-001**
**https://soundcloud.com/user-584099903/01-levadinsky-descent-001

**LISTEN AND ENJOY NOW**",Mention Bot
31935,2025-05-23 03:02:45+00:00,"🚀 Get in early or get left behind. 🚀

I call it before it explodes. No noise, no BS—just straight sends.

🔹 Early calls that print
🔹 Narratives before they take off
🔹 We eat first, the rest FOMO in

💰 Join now or watch from the sidelines.

https://t.me/+4urZQYAiJDg4Njhk",Mention Bot
31929,2025-05-22 16:57:30+00:00,"**Zeri is about to call the next 50x **

The only channel back in 2023 who **__publicly__** predicted the Solana meme coin explosion—begging everyone to buy SOL at just $20. We all know how that turned out.

With a proven 70% win rate on his public channel, Zeri is now preparing up to drop his next big calls on both SOL and SUI. 

**Don’t miss it and follow **[**HERE:**](https://t.me/+L6lSy40tVyE2ZTAy)

[FOLLOW ZERI HERE NOW ](https://t.me/+L6lSy40tVyE2ZTAy)
[FOLLOW ZERI HERE NOW ](https://t.me/+L6lSy40tVyE2ZTAy)
[FOLLOW ZERI HERE NOW](https://t.me/+L6lSy40tVyE2ZTAy)",Mention Bot
31917,2025-05-21 21:14:33+00:00,"**Stake gifts** 💎

**Buy gifts** 🛒

**Roll gifts** 🎲
**
**
Where? [Here 😵‍💫](https://t.me/rollsgame_bot/app?startapp=ref_vGBtRGwqBf)[
](http://t.me/rollsgame_bot)
[@rolls](https://t.me/rollsgame_bot/app?startapp=ref_vGBtRGwqBf)",Mention Bot
31913,2025-05-21 13:57:47+00:00,"**🎉 Crypto Madness Start your staking journey now! ! 🎉**

🔹2025 Global blockchain secure, efficient and transparent proof-of-stake network to help users increase their wealth!

🎯 **Enjoy 38.8% daily yield**, real-time credits, and full flexibility.

🔹 If you miss today, you will lose at the starting line! Stake now and achieve financial freedom!

🎁Unlock exciting opportunities. Click the link to get started!

**👉 Registration link:** https://explorestaking.com/#/?ref=975855
**🤖 Telegram bot: **@EOS_Global_Bot

💬 Don't let your funds sit idle!

Start staking on ExploreStaking now and earn daily income! 🚀",Mention Bot
31900,2025-05-20 15:10:52+00:00,"**Stake gifts** 💎

**Buy gifts** 🛒

**Roll gifts** 🎲
**
**
Where? [Here 😵‍💫](https://t.me/rollsgame_bot/app?startapp=ref_vGBtRGwqBf)[
](http://t.me/rollsgame_bot)
[@rolls](https://t.me/rollsgame_bot/app?startapp=ref_vGBtRGwqBf)",Mention Bot
31887,2025-05-19 13:59:39+00:00,,Luiz Fernando
31874,2025-05-18 14:29:14+00:00,"**NEW**[ ](https://on.soundcloud.com/wtYqvmYWy165p93D6)**DROP FROM THE **[**RSB.PROMO**](https://soundcloud.com/user-584099903/01-levadinsky-descent-001)** RESIDENT 🚨**
**
Levadinsky descent

By ****RSB.PROMO****
****www.instagram.com/michael_banshee_****

****https://soundcloud.com/user-584099903/01-levadinsky-descent-001****
****https://soundcloud.com/user-584099903/01-levadinsky-descent-001****
****https://soundcloud.com/user-584099903/01-levadinsky-descent-001**",Mention Bot
31854,2025-05-17 00:32:24+00:00,"**GROUP IS NOW FREE FOR THE NEXT 60 MINUTES 🐋**

Join now and enjoy fast signals 🎯

Good analysis and news are shared

https://t.me/+d6tMuMmvqUAyY2Qy

**The link is limited to the first 25 members only, friends**⚠️",Mention Bot
31846,2025-05-16 13:25:41+00:00,"**Welcome to **[@MINT](https://t.me/CollectiblesBot?startapp=invite_586401294)** MARKET!** 😎

Telegram-native tokenized IP: stickers, gifts, NFTs & more...

🔔 [Open App and connect your wallet to WIN 1,000 TON](https://t.me/CollectiblesBot?startapp=invite_586401294)",Mention Bot
31845,2025-05-16 13:19:21+00:00,,REIS👑📉📈
